Codigo de Producto     Codigo de Palet       Cant. de Productos
=================================================================
   BB53001                      E18                  15
   NL61668                      C46                  25
   NL61668                      C41                  10
   MB82598                      D41                  25
   MB82598                      E50                  20
   MB82598                      C13                   5
   BB53001                      E18                  10
   BB53001                      A45                  10
   YW80393                      D04                  15
   YF17264                      D48                  20
   YF17264                      D44                  10
   UK47509                      B36                  20
   UK47509                      B17                  25
   TL56384                      A42                  20
   TL56384                      D30                   5
   NL61668                      C41                  20
   IT60920                      E38                  20
   IT60920                      B42                  25
   IT60920                      D17                  10
   IG92877                      A02                  20
   IG92877                      D20                  15
   UE09721                      E28                  10
   YW80393                      D04                  15
   YW80393                      D11                  40
   YW80393                      D49                   5
   YY65200                      C27                  30
   YY65200                      A08                  40
   YY65200                      C07                  10
   IG92877                      D20                  10
   IG92877                      B49                  20
   YW80393                      D49                  15
   YW80393                      A07                  20
   YW80393                      D09                  20
   YW80393                      E07                  20
   YW80393                      C42                  15
   YW80393                      D43                  15
   YW80393                      D42                  15
   YW80393                      B16                  15
   YW80393                      B16                  25
   BF72860                      D31                  25
   BF72860                      C26                  30
   CE69353                      E50                  25
   CE69353                      E24                   5
   FQ88002                      C44                  20
   FQ88002                      C48                   5
   IT60920                      D17                  20
   IT60920                      B39                  30
   IT60920                      D14                  40
   IT60920                      C15                  20
   IT60920                      C34                  20
   IT60920                      C12                  20
   IT60920                      C34                  20
   IT60920                      D20                  20
   IT60920                      E28                  15
   IT60920                      A03                  15
   IT60920                      C29                  15
   WS24612                      B39                  25
   WS24612                      C42                  30
   WS24612                      C44                  20
   YY65200                      C07                  30
